schema_name	index_name	table_name	owner	access_method	definition
public	access_tokens_pkey	access_tokens	gbrain	btree	CREATE UNIQUE INDEX access_tokens_pkey ON public.access_tokens USING btree (id)
public	access_tokens_token_hash_key	access_tokens	gbrain	btree	CREATE UNIQUE INDEX access_tokens_token_hash_key ON public.access_tokens USING btree (token_hash)
public	ai_review_assignments_pkey	ai_review_assignments	gbrain	btree	CREATE UNIQUE INDEX ai_review_assignments_pkey ON public.ai_review_assignments USING btree (id)
public	ai_review_assignments_reviewer_idx	ai_review_assignments	gbrain	btree	CREATE INDEX ai_review_assignments_reviewer_idx ON public.ai_review_assignments USING btree (reviewer_email, status)
public	ai_review_assignments_round_id_reviewer_email_key	ai_review_assignments	gbrain	btree	CREATE UNIQUE INDEX ai_review_assignments_round_id_reviewer_email_key ON public.ai_review_assignments USING btree (round_id, reviewer_email)
public	ai_review_events_pkey	ai_review_events	gbrain	btree	CREATE UNIQUE INDEX ai_review_events_pkey ON public.ai_review_events USING btree (id)
public	ai_review_events_target_idx	ai_review_events	gbrain	btree	CREATE INDEX ai_review_events_target_idx ON public.ai_review_events USING btree (target_type, target_id, created_at DESC)
public	ai_review_revisions_pkey	ai_review_revisions	gbrain	btree	CREATE UNIQUE INDEX ai_review_revisions_pkey ON public.ai_review_revisions USING btree (id)
public	ai_review_revisions_target_idx	ai_review_revisions	gbrain	btree	CREATE INDEX ai_review_revisions_target_idx ON public.ai_review_revisions USING btree (target_type, target_id, created_at DESC)
public	ai_review_rounds_active_idx	ai_review_rounds	gbrain	btree	CREATE UNIQUE INDEX ai_review_rounds_active_idx ON public.ai_review_rounds USING btree (target_type, target_id) WHERE (status = ANY (ARRAY['open'::text, 'escalated'::text, 'finalizing'::text]))
public	ai_review_rounds_pkey	ai_review_rounds	gbrain	btree	CREATE UNIQUE INDEX ai_review_rounds_pkey ON public.ai_review_rounds USING btree (id)
public	ai_review_rounds_status_due_idx	ai_review_rounds	gbrain	btree	CREATE INDEX ai_review_rounds_status_due_idx ON public.ai_review_rounds USING btree (status, due_at)
public	ai_review_votes_active_idx	ai_review_votes	gbrain	btree	CREATE UNIQUE INDEX ai_review_votes_active_idx ON public.ai_review_votes USING btree (assignment_id) WHERE (active = true)
public	ai_review_votes_idempotency_idx	ai_review_votes	gbrain	btree	CREATE UNIQUE INDEX ai_review_votes_idempotency_idx ON public.ai_review_votes USING btree (assignment_id, idempotency_key)
public	ai_review_votes_pkey	ai_review_votes	gbrain	btree	CREATE UNIQUE INDEX ai_review_votes_pkey ON public.ai_review_votes USING btree (id)
public	ai_review_votes_round_idx	ai_review_votes	gbrain	btree	CREATE INDEX ai_review_votes_round_idx ON public.ai_review_votes USING btree (round_id, created_at DESC)
public	budget_ledger_pkey	budget_ledger	gbrain	btree	CREATE UNIQUE INDEX budget_ledger_pkey ON public.budget_ledger USING btree (scope, resolver_id, local_date)
public	budget_reservations_pkey	budget_reservations	gbrain	btree	CREATE UNIQUE INDEX budget_reservations_pkey ON public.budget_reservations USING btree (reservation_id)
public	calibration_profiles_bias_tags_gin	calibration_profiles	gbrain	gin	CREATE INDEX calibration_profiles_bias_tags_gin ON public.calibration_profiles USING gin (active_bias_tags)
public	calibration_profiles_holder_recent_idx	calibration_profiles	gbrain	btree	CREATE INDEX calibration_profiles_holder_recent_idx ON public.calibration_profiles USING btree (source_id, holder, generated_at DESC)
public	calibration_profiles_pkey	calibration_profiles	gbrain	btree	CREATE UNIQUE INDEX calibration_profiles_pkey ON public.calibration_profiles USING btree (id)
public	calibration_profiles_published_idx	calibration_profiles	gbrain	btree	CREATE INDEX calibration_profiles_published_idx ON public.calibration_profiles USING btree (source_id, published, holder) WHERE (published = true)
public	code_edges_chunk_pkey	code_edges_chunk	gbrain	btree	CREATE UNIQUE INDEX code_edges_chunk_pkey ON public.code_edges_chunk USING btree (id)
public	code_edges_chunk_unique	code_edges_chunk	gbrain	btree	CREATE UNIQUE INDEX code_edges_chunk_unique ON public.code_edges_chunk USING btree (from_chunk_id, to_chunk_id, edge_type)
public	code_edges_symbol_pkey	code_edges_symbol	gbrain	btree	CREATE UNIQUE INDEX code_edges_symbol_pkey ON public.code_edges_symbol USING btree (id)
public	code_edges_symbol_unique	code_edges_symbol	gbrain	btree	CREATE UNIQUE INDEX code_edges_symbol_unique ON public.code_edges_symbol USING btree (from_chunk_id, to_symbol_qualified, edge_type)
public	code_traversal_cache_key_idx	code_traversal_cache	gbrain	btree	CREATE UNIQUE INDEX code_traversal_cache_key_idx ON public.code_traversal_cache USING btree (symbol_qualified, depth, source_id)
public	code_traversal_cache_pkey	code_traversal_cache	gbrain	btree	CREATE UNIQUE INDEX code_traversal_cache_pkey ON public.code_traversal_cache USING btree (id)
public	code_traversal_cache_source_idx	code_traversal_cache	gbrain	btree	CREATE INDEX code_traversal_cache_source_idx ON public.code_traversal_cache USING btree (source_id)
public	concept_proposals_pending_idx	concept_proposals	gbrain	btree	CREATE INDEX concept_proposals_pending_idx ON public.concept_proposals USING btree (source_id, status, proposed_at DESC) WHERE (status = 'pending'::text)
public	concept_proposals_pkey	concept_proposals	gbrain	btree	CREATE UNIQUE INDEX concept_proposals_pkey ON public.concept_proposals USING btree (id)
public	concept_proposals_source_id_page_slug_source_content_hash_p_key	concept_proposals	gbrain	btree	CREATE UNIQUE INDEX concept_proposals_source_id_page_slug_source_content_hash_p_key ON public.concept_proposals USING btree (source_id, page_slug, source_content_hash, prompt_version)
public	config_pkey	config	gbrain	btree	CREATE UNIQUE INDEX config_pkey ON public.config USING btree (key)
public	content_chunks_pkey	content_chunks	gbrain	btree	CREATE UNIQUE INDEX content_chunks_pkey ON public.content_chunks USING btree (id)
public	content_chunks_stale_idx	content_chunks	gbrain	btree	CREATE INDEX content_chunks_stale_idx ON public.content_chunks USING btree (page_id, chunk_index) WHERE (embedding IS NULL)
public	context_volunteer_events_pkey	context_volunteer_events	gbrain	btree	CREATE UNIQUE INDEX context_volunteer_events_pkey ON public.context_volunteer_events USING btree (id)
public	context_volunteer_events_src_slug_idx	context_volunteer_events	gbrain	btree	CREATE INDEX context_volunteer_events_src_slug_idx ON public.context_volunteer_events USING btree (source_id, slug)
public	context_volunteer_events_src_time_idx	context_volunteer_events	gbrain	btree	CREATE INDEX context_volunteer_events_src_time_idx ON public.context_volunteer_events USING btree (source_id, volunteered_at DESC)
public	conversation_parser_llm_cache_pkey	conversation_parser_llm_cache	gbrain	btree	CREATE UNIQUE INDEX conversation_parser_llm_cache_pkey ON public.conversation_parser_llm_cache USING btree (content_sha256, model_id, call_shape)
public	dream_verdicts_pkey	dream_verdicts	gbrain	btree	CREATE UNIQUE INDEX dream_verdicts_pkey ON public.dream_verdicts USING btree (file_path, content_hash)
public	drift_decisions_pkey	drift_decisions	gbrain	btree	CREATE UNIQUE INDEX drift_decisions_pkey ON public.drift_decisions USING btree (id)
public	eval_candidates_pkey	eval_candidates	gbrain	btree	CREATE UNIQUE INDEX eval_candidates_pkey ON public.eval_candidates USING btree (id)
public	eval_capture_failures_pkey	eval_capture_failures	gbrain	btree	CREATE UNIQUE INDEX eval_capture_failures_pkey ON public.eval_capture_failures USING btree (id)
public	eval_contradictions_cache_expires_idx	eval_contradictions_cache	gbrain	btree	CREATE INDEX eval_contradictions_cache_expires_idx ON public.eval_contradictions_cache USING btree (expires_at)
public	eval_contradictions_cache_pkey	eval_contradictions_cache	gbrain	btree	CREATE UNIQUE INDEX eval_contradictions_cache_pkey ON public.eval_contradictions_cache USING btree (chunk_a_hash, chunk_b_hash, model_id, prompt_version, truncation_policy)
public	eval_contradictions_runs_pkey	eval_contradictions_runs	gbrain	btree	CREATE UNIQUE INDEX eval_contradictions_runs_pkey ON public.eval_contradictions_runs USING btree (run_id)
