signature	owner	extension	security_definer	acl
auto_enable_rls()	gbrain	[none]	f	[NULL]
bump_page_generation_clock_fn()	gbrain	[none]	f	[NULL]
bump_page_generation_fn()	gbrain	[none]	f	[NULL]
notify_minion_job_change()	gbrain	[none]	f	[NULL]
portal_acl_audit_append_only()	gbrain	[none]	f	[NULL]
portal_acl_guard_personal_grant()	gbrain	[none]	f	[NULL]
portal_acl_guard_user_identity()	gbrain	[none]	f	[NULL]
update_chunk_search_vector()	gbrain	[none]	f	[NULL]
update_page_search_vector()	gbrain	[none]	f	[NULL]
gin_extract_query_trgm(text,internal,smallint,internal,internal,internal,internal)	postgres	pg_trgm	f	[NULL]
gin_extract_value_trgm(text,internal)	postgres	pg_trgm	f	[NULL]
gin_trgm_consistent(internal,smallint,text,integer,internal,internal,internal,internal)	postgres	pg_trgm	f	[NULL]
gin_trgm_triconsistent(internal,smallint,text,integer,internal,internal,internal)	postgres	pg_trgm	f	[NULL]
gtrgm_compress(internal)	postgres	pg_trgm	f	[NULL]
gtrgm_consistent(internal,text,smallint,oid,internal)	postgres	pg_trgm	f	[NULL]
gtrgm_decompress(internal)	postgres	pg_trgm	f	[NULL]
gtrgm_distance(internal,text,smallint,oid,internal)	postgres	pg_trgm	f	[NULL]
gtrgm_in(cstring)	postgres	pg_trgm	f	[NULL]
gtrgm_options(internal)	postgres	pg_trgm	f	[NULL]
gtrgm_out(gtrgm)	postgres	pg_trgm	f	[NULL]
gtrgm_penalty(internal,internal,internal)	postgres	pg_trgm	f	[NULL]
gtrgm_picksplit(internal,internal)	postgres	pg_trgm	f	[NULL]
gtrgm_same(gtrgm,gtrgm,internal)	postgres	pg_trgm	f	[NULL]
gtrgm_union(internal,internal)	postgres	pg_trgm	f	[NULL]
set_limit(real)	postgres	pg_trgm	f	[NULL]
show_limit()	postgres	pg_trgm	f	[NULL]
show_trgm(text)	postgres	pg_trgm	f	[NULL]
similarity_dist(text,text)	postgres	pg_trgm	f	[NULL]
similarity_op(text,text)	postgres	pg_trgm	f	[NULL]
similarity(text,text)	postgres	pg_trgm	f	[NULL]
strict_word_similarity_commutator_op(text,text)	postgres	pg_trgm	f	[NULL]
strict_word_similarity_dist_commutator_op(text,text)	postgres	pg_trgm	f	[NULL]
strict_word_similarity_dist_op(text,text)	postgres	pg_trgm	f	[NULL]
strict_word_similarity_op(text,text)	postgres	pg_trgm	f	[NULL]
strict_word_similarity(text,text)	postgres	pg_trgm	f	[NULL]
word_similarity_commutator_op(text,text)	postgres	pg_trgm	f	[NULL]
word_similarity_dist_commutator_op(text,text)	postgres	pg_trgm	f	[NULL]
word_similarity_dist_op(text,text)	postgres	pg_trgm	f	[NULL]
word_similarity_op(text,text)	postgres	pg_trgm	f	[NULL]
word_similarity(text,text)	postgres	pg_trgm	f	[NULL]
armor(bytea)	postgres	pgcrypto	f	[NULL]
