signature	owner	prokind	security_definer	acl	config
armor(bytea)	postgres	f	f	[NULL]	[NULL]
armor(bytea,text[],text[])	postgres	f	f	[NULL]	[NULL]
array_to_vector(double precision[],integer,boolean)	postgres	f	f	[NULL]	[NULL]
array_to_vector(integer[],integer,boolean)	postgres	f	f	[NULL]	[NULL]
array_to_vector(numeric[],integer,boolean)	postgres	f	f	[NULL]	[NULL]
array_to_vector(real[],integer,boolean)	postgres	f	f	[NULL]	[NULL]
auto_enable_rls()	gbrain	f	f	[NULL]	[NULL]
avg(vector)	postgres	a	f	[NULL]	[NULL]
bump_page_generation_clock_fn()	gbrain	f	f	[NULL]	[NULL]
bump_page_generation_fn()	gbrain	f	f	[NULL]	[NULL]
cosine_distance(vector,vector)	postgres	f	f	[NULL]	[NULL]
crypt(text,text)	postgres	f	f	[NULL]	[NULL]
dearmor(text)	postgres	f	f	[NULL]	[NULL]
decrypt(bytea,bytea,text)	postgres	f	f	[NULL]	[NULL]
decrypt_iv(bytea,bytea,bytea,text)	postgres	f	f	[NULL]	[NULL]
digest(bytea,text)	postgres	f	f	[NULL]	[NULL]
digest(text,text)	postgres	f	f	[NULL]	[NULL]
encrypt(bytea,bytea,text)	postgres	f	f	[NULL]	[NULL]
encrypt_iv(bytea,bytea,bytea,text)	postgres	f	f	[NULL]	[NULL]
gen_random_bytes(integer)	postgres	f	f	[NULL]	[NULL]
gen_salt(text)	postgres	f	f	[NULL]	[NULL]
gen_salt(text,integer)	postgres	f	f	[NULL]	[NULL]
gin_extract_query_trgm(text,internal,smallint,internal,internal,internal,internal)	postgres	f	f	[NULL]	[NULL]
gin_extract_value_trgm(text,internal)	postgres	f	f	[NULL]	[NULL]
gin_trgm_consistent(internal,smallint,text,integer,internal,internal,internal,internal)	postgres	f	f	[NULL]	[NULL]
gin_trgm_triconsistent(internal,smallint,text,integer,internal,internal,internal)	postgres	f	f	[NULL]	[NULL]
gtrgm_compress(internal)	postgres	f	f	[NULL]	[NULL]
gtrgm_consistent(internal,text,smallint,oid,internal)	postgres	f	f	[NULL]	[NULL]
gtrgm_decompress(internal)	postgres	f	f	[NULL]	[NULL]
gtrgm_distance(internal,text,smallint,oid,internal)	postgres	f	f	[NULL]	[NULL]
gtrgm_in(cstring)	postgres	f	f	[NULL]	[NULL]
gtrgm_options(internal)	postgres	f	f	[NULL]	[NULL]
gtrgm_out(gtrgm)	postgres	f	f	[NULL]	[NULL]
gtrgm_penalty(internal,internal,internal)	postgres	f	f	[NULL]	[NULL]
gtrgm_picksplit(internal,internal)	postgres	f	f	[NULL]	[NULL]
gtrgm_same(gtrgm,gtrgm,internal)	postgres	f	f	[NULL]	[NULL]
gtrgm_union(internal,internal)	postgres	f	f	[NULL]	[NULL]
hmac(bytea,bytea,text)	postgres	f	f	[NULL]	[NULL]
hmac(text,text,text)	postgres	f	f	[NULL]	[NULL]
hnswhandler(internal)	postgres	f	f	[NULL]	[NULL]
inner_product(vector,vector)	postgres	f	f	[NULL]	[NULL]
ivfflathandler(internal)	postgres	f	f	[NULL]	[NULL]
l1_distance(vector,vector)	postgres	f	f	[NULL]	[NULL]
l2_distance(vector,vector)	postgres	f	f	[NULL]	[NULL]
