sequence_name	table_name	column_name	dependency_type
ai_review_assignments_id_seq	ai_review_assignments	id	a
ai_review_events_id_seq	ai_review_events	id	a
ai_review_revisions_id_seq	ai_review_revisions	id	a
ai_review_rounds_id_seq	ai_review_rounds	id	a
ai_review_votes_id_seq	ai_review_votes	id	a
calibration_profiles_id_seq	calibration_profiles	id	a
code_edges_chunk_id_seq	code_edges_chunk	id	a
code_edges_symbol_id_seq	code_edges_symbol	id	a
code_traversal_cache_id_seq	code_traversal_cache	id	a
concept_proposals_id_seq	concept_proposals	id	a
content_chunks_id_seq	content_chunks	id	a
context_volunteer_events_id_seq	context_volunteer_events	id	a
drift_decisions_id_seq	drift_decisions	id	a
eval_candidates_id_seq	eval_candidates	id	a
eval_capture_failures_id_seq	eval_capture_failures	id	a
eval_takes_quality_runs_id_seq	eval_takes_quality_runs	id	a
facts_id_seq	facts	id	a
files_id_seq	files	id	a
ingest_log_id_seq	ingest_log	id	a
intake_events_id_seq	intake_events	id	a
links_id_seq	links	id	a
mcp_request_log_id_seq	mcp_request_log	id	a
mcp_spend_log_id_seq	mcp_spend_log	id	a
migration_impact_log_id_seq	migration_impact_log	id	a
minion_attachments_id_seq	minion_attachments	id	a
minion_budget_log_id_seq	minion_budget_log	id	a
minion_inbox_id_seq	minion_inbox	id	a
minion_jobs_id_seq	minion_jobs	id	a
minion_lease_pressure_log_id_seq	minion_lease_pressure_log	id	a
minion_self_fix_log_id_seq	minion_self_fix_log	id	a
page_aliases_id_seq	page_aliases	id	a
page_versions_id_seq	page_versions	id	a
pages_id_seq	pages	id	a
portal_acl_audit_id_seq	portal_acl_audit	id	a
raw_data_id_seq	raw_data	id	a
slug_aliases_id_seq	slug_aliases	id	a
source_connector_secret_audit_id_seq	source_connector_secret_audit	id	a
subagent_messages_id_seq	subagent_messages	id	a
subagent_rate_leases_id_seq	subagent_rate_leases	id	a
subagent_tool_executions_id_seq	subagent_tool_executions	id	a
tags_id_seq	tags	id	a
take_nudge_log_id_seq	take_nudge_log	id	a
take_proposal_scan_attempts_id_seq	take_proposal_scan_attempts	id	a
take_proposal_scans_id_seq	take_proposal_scans	id	a
take_proposals_id_seq	take_proposals	id	a
takes_id_seq	takes	id	a
think_ab_results_id_seq	think_ab_results	id	a
timeline_entries_id_seq	timeline_entries	id	a
