type_name	type_kind	owner	acl	extension
_access_tokens	b	gbrain	[NULL]	[none]
_ai_review_assignments	b	gbrain	[NULL]	[none]
_ai_review_events	b	gbrain	[NULL]	[none]
_ai_review_revisions	b	gbrain	[NULL]	[none]
_ai_review_rounds	b	gbrain	[NULL]	[none]
_ai_review_votes	b	gbrain	[NULL]	[none]
_budget_ledger	b	gbrain	[NULL]	[none]
_budget_reservations	b	gbrain	[NULL]	[none]
_calibration_profiles	b	gbrain	[NULL]	[none]
_code_edges_chunk	b	gbrain	[NULL]	[none]
_code_edges_symbol	b	gbrain	[NULL]	[none]
_code_traversal_cache	b	gbrain	[NULL]	[none]
_concept_proposals	b	gbrain	[NULL]	[none]
_config	b	gbrain	[NULL]	[none]
_content_chunks	b	gbrain	[NULL]	[none]
_context_volunteer_events	b	gbrain	[NULL]	[none]
_conversation_parser_llm_cache	b	gbrain	[NULL]	[none]
_dream_verdicts	b	gbrain	[NULL]	[none]
_drift_decisions	b	gbrain	[NULL]	[none]
_eval_candidates	b	gbrain	[NULL]	[none]
_eval_capture_failures	b	gbrain	[NULL]	[none]
_eval_contradictions_cache	b	gbrain	[NULL]	[none]
_eval_contradictions_runs	b	gbrain	[NULL]	[none]
_eval_takes_quality_runs	b	gbrain	[NULL]	[none]
_extract_rollup_7d	b	gbrain	[NULL]	[none]
_facts	b	gbrain	[NULL]	[none]
_file_migration_ledger	b	gbrain	[NULL]	[none]
_files	b	gbrain	[NULL]	[none]
_gbrain_cycle_locks	b	gbrain	[NULL]	[none]
_gtrgm	b	postgres	[NULL]	[none]
_ingest_log	b	gbrain	[NULL]	[none]
_intake_batches	b	gbrain	[NULL]	[none]
_intake_events	b	gbrain	[NULL]	[none]
_intake_files	b	gbrain	[NULL]	[none]
_intake_link_selections	b	gbrain	[NULL]	[none]
_intake_new_objects	b	gbrain	[NULL]	[none]
_intake_object_link_selections	b	gbrain	[NULL]	[none]
_intake_review_items	b	gbrain	[NULL]	[none]
_links	b	gbrain	[NULL]	[none]
_mcp_request_log	b	gbrain	[NULL]	[none]
